Wall time,Step,Value
1716032281.320502,2097,0.10000000149011612
1716032282.0803041,2098,0.6000000238418579
1716032283.772964,2100,0.30000001192092896
1716032285.882317,2103,0.6000000238418579
1716032287.826782,2105,0.4000000059604645
1716032291.3259652,2109,0.30000001192092896
1716032292.529491,2110,0.4000000059604645
1716032295.685143,2114,0.5
1716032296.213005,2115,0.10000000149011612
1716032299.647302,2119,0.30000001192092896
1716032300.6661718,2120,0.4000000059604645
1716032302.571703,2123,0.30000001192092896
1716032303.443447,2124,0.20000000298023224
1716032306.2612429,2127,0.699999988079071
1716032314.4169102,2136,0.20000000298023224
1716032316.863233,2139,0.699999988079071
1716032325.905419,2149,0.30000001192092896
1716032335.23898,2159,0.30000001192092896
1716032337.290821,2162,0.6000000238418579
1716032344.107778,2169,0.6000000238418579
1716032351.157679,2176,0.6000000238418579
1716032362.032908,2187,0.699999988079071
1716032363.4073422,2189,0.6000000238418579
1716032367.722751,2194,0.699999988079071
1716032373.515643,2199,0.30000001192092896
1716032374.701631,2201,0.5
1716032375.815239,2203,0.4000000059604645
1716032380.6391418,2209,0.30000001192092896
1716032382.151547,2211,0.20000000298023224
1716032384.4097211,2214,0.699999988079071
1716032385.3007019,2215,0.6000000238418579
1716032390.134529,2221,0.5
1716032393.129942,2225,0.6000000238418579
1716032403.898747,2236,0.10000000149011612
1716032407.03069,2239,0.4000000059604645
1716032412.2092538,2244,0.10000000149011612
1716032421.532751,2257,0.699999988079071
1716032426.4173949,2264,0.5
1716032428.713582,2267,0.8999999761581421
1716032440.915078,2281,0.4000000059604645
1716032453.076311,2292,0.30000001192092896
1716032460.5578282,2300,0.5
1716032464.907468,2305,0.6000000238418579
1716032465.599607,2306,0.5
1716032470.731078,2311,0.10000000149011612
1716032474.766905,2316,0.4000000059604645
1716032477.5668511,2319,0.20000000298023224
1716032481.114478,2324,0.4000000059604645
1716032487.908427,2332,0.6000000238418579
1716032490.049104,2335,0.5
1716032497.5145118,2342,0.30000001192092896
1716032498.24101,2343,0.30000001192092896
1716032499.1032882,2344,0.6000000238418579
1716032501.136496,2346,0.30000001192092896
1716032506.3694131,2352,0.20000000298023224
1716032510.6795242,2357,0.5
1716032512.590636,2359,0.5
1716032527.137491,2373,0.6000000238418579
1716032536.981465,2384,0.4000000059604645
1716032541.06455,2389,0.4000000059604645
1716032542.464329,2391,0.4000000059604645
1716032543.8723059,2393,0.4000000059604645
1716032544.9276319,2394,0.5
1716032547.198061,2397,0.6000000238418579
1716032548.260062,2398,0.4000000059604645
1716032573.8355892,2428,0.4000000059604645
1716032576.947276,2431,0.5
1716032580.673075,2435,0.6000000238418579
1716032581.575975,2436,0.5
1716032586.5941901,2441,0.5
1716032587.136555,2442,0.4000000059604645
1716032596.523377,2454,0.5
1716032603.380088,2462,0.4000000059604645
1716032605.607739,2464,0.30000001192092896
1716032606.653079,2465,0.30000001192092896
1716032611.192328,2469,0.699999988079071
1716032615.3844469,2473,0.699999988079071
1716032618.778147,2477,0.699999988079071
1716032626.426928,2485,0.4000000059604645
1716032630.228677,2489,0.6000000238418579
1716032633.5046852,2493,0.4000000059604645
1716032637.220368,2498,0.30000001192092896
1716032638.707913,2500,0.5
1716032641.4121878,2503,0.4000000059604645
1716032643.103724,2505,0.4000000059604645
1716032643.680884,2506,0.4000000059604645
1716032645.3495328,2508,0.699999988079071
1716032650.468727,2513,0.20000000298023224
1716032654.080967,2517,0.800000011920929
1716032655.010064,2518,0.4000000059604645
1716032655.57624,2519,0.6000000238418579
1716032657.6694489,2521,0.4000000059604645
1716032659.487247,2523,0.30000001192092896
1716032663.816819,2528,0.4000000059604645
1716032666.522065,2530,0.699999988079071
1716032673.21393,2538,0.6000000238418579
1716032678.905577,2543,0.5
1716032700.005698,2565,0.4000000059604645
1716032700.888293,2566,0.5
1716032702.3560529,2568,0.30000001192092896
1716032708.14145,2575,0.4000000059604645
1716032709.9494689,2577,0.4000000059604645
1716032710.535994,2578,0.6000000238418579
1716032714.9009511,2583,0.5
1716032715.995509,2584,0.20000000298023224
1716032716.75521,2585,0.699999988079071
1716032718.6088269,2588,0.699999988079071
1716032719.343392,2589,0.6000000238418579
1716032722.305394,2592,0.5
1716032727.985952,2599,0.30000001192092896
1716032729.745412,2601,0.5
1716032735.180108,2606,0.30000001192092896
1716032746.732884,2617,0.4000000059604645
1716032747.9481611,2618,0.5
1716032748.691562,2619,0.4000000059604645
1716032756.800243,2627,0.30000001192092896
1716032757.52196,2628,0.30000001192092896
1716032762.6666791,2633,0.4000000059604645
1716032763.2039418,2634,0.4000000059604645
1716032764.124025,2635,0.4000000059604645
1716032765.2185118,2636,0.699999988079071
1716032767.0254452,2638,0.6000000238418579
1716032767.90095,2639,0.30000001192092896
1716032768.873961,2640,0.6000000238418579
1716032771.221196,2643,0.30000001192092896
1716032787.1553888,2660,0.4000000059604645
1716032788.958446,2662,0.6000000238418579
1716032795.642383,2670,0.4000000059604645
1716032796.7800589,2671,0.6000000238418579
1716032797.677654,2672,0.4000000059604645
1716032799.508254,2674,0.4000000059604645
1716032805.9648929,2681,0.699999988079071
1716032808.203871,2684,0.800000011920929
1716032810.006291,2686,0.5
1716032812.34428,2689,0.4000000059604645
1716032814.39328,2691,0.5
1716032815.8441422,2693,0.699999988079071
1716032823.510369,2702,0.5
1716032829.2554939,2706,0.20000000298023224
1716032831.787235,2708,0.4000000059604645
1716032836.017112,2712,0.30000001192092896
1716032836.940674,2713,0.4000000059604645
1716032841.9402492,2717,0.30000001192092896
1716032842.855017,2718,0.6000000238418579
1716032843.57267,2719,0.6000000238418579
1716032847.160989,2724,0.6000000238418579
1716032851.0611498,2729,0.5
1716032851.887839,2730,0.6000000238418579
1716032854.284322,2734,0.6000000238418579
1716032858.471966,2739,0.800000011920929
1716032859.199876,2740,0.6000000238418579
1716032860.262429,2741,0.30000001192092896
1716032862.727607,2744,0.5
1716032863.297666,2745,0.800000011920929
1716032869.9652212,2753,0.6000000238418579
1716032870.883331,2754,0.6000000238418579
1716032871.793522,2755,0.6000000238418579
1716032876.3897731,2760,0.699999988079071
1716032877.6295521,2761,0.6000000238418579
1716032881.206346,2765,0.5
1716032884.924292,2768,0.699999988079071
1716032887.428829,2771,0.699999988079071
1716032889.603769,2773,0.5
1716032892.1143198,2775,0.30000001192092896
1716032895.391606,2778,0.6000000238418579
1716032896.495073,2779,0.4000000059604645
1716032903.727065,2785,0.30000001192092896
1716032915.47837,2797,0.4000000059604645
1716032917.2801359,2799,0.5
1716032929.987416,2812,0.5
1716032930.387403,2813,0.6000000238418579
1716032940.2149298,2824,0.5
1716032940.608976,2825,0.800000011920929
1716032950.50887,2834,0.20000000298023224
1716032952.300898,2836,0.30000001192092896
1716032954.21523,2838,0.30000001192092896
1716032957.975162,2841,0.4000000059604645
1716032961.1243699,2844,0.30000001192092896
1716032964.1097221,2847,0.6000000238418579
1716032967.749404,2851,0.6000000238418579
1716032968.641972,2852,0.5
1716032972.89939,2857,0.699999988079071
1716032975.154805,2859,0.5
1716033002.642117,2861,0.5
1716033003.866569,2862,0.4000000059604645
1716033008.5455942,2866,0.10000000149011612
1716033020.052448,2879,0.27272728085517883
1716033022.621334,2881,0.30000001192092896
1716033023.648386,2882,0.800000011920929
1716033025.567043,2884,0.10000000149011612
1716033030.601162,2889,0.20000000298023224
1716033032.661118,2891,0.5
1716033034.434977,2893,0.6000000238418579
1716033036.008977,2895,0.5
1716033042.753203,2903,0.6000000238418579
1716033468.139501,2911,0.699999988079071
1716033470.5957341,2914,0.699999988079071
1716033471.627839,2915,0.5
1716033474.327212,2918,0.30000001192092896
1716033475.5898418,2920,0.6000000238418579
1716033476.253366,2921,0.4000000059604645
1716033479.636353,2924,0.5
1716033485.5938199,2930,0.800000011920929
1716033489.840675,2934,0.20000000298023224
1716033490.3909812,2935,0.4000000059604645
1716033505.355243,2949,0.4000000059604645
1716033508.301758,2952,0.5
1716033510.7508109,2955,0.20000000298023224
1716033513.723487,2958,0.4000000059604645
1716033517.7301471,2962,0.5
1716033520.783747,2965,0.5
1716033521.653116,2966,0.6000000238418579
1716033522.6805491,2967,0.5
1716033528.8450282,2973,0.5
1716033534.020514,2978,0.699999988079071
1716033534.5700321,2979,0.5
1716033539.126973,2984,0.6000000238418579
1716033540.717582,2986,0.5
1716033548.507209,2993,0.6000000238418579
1716033550.658085,2996,0.5
1716033552.433714,2998,0.6000000238418579
1716033553.492949,2999,0.6000000238418579
1716033555.392812,3001,0.4000000059604645
1716033556.244303,3002,0.4000000059604645
1716033557.470627,3004,0.800000011920929
1716033563.832099,3010,0.30000001192092896
1716033569.724478,3018,0.699999988079071
1716033570.4474509,3019,0.699999988079071
1716033574.1420841,3024,0.699999988079071
1716033578.014612,3029,0.800000011920929
