rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range
-23.094297409057617,1363968,25.0,328,4146,222,-0.01735847037489293,0.01148847,0.11595052083333333,0.0003,0.8741017132997513,-0.0024264559615403414,-0.7549423635005951,0.0015289900109564769,2210,0.2
-21.438840866088867,1370112,25.0,330,4146,223,-0.017719240277074277,0.010178695,0.10245768229166667,0.0003,0.8832898885011673,-0.01841510273516178,-0.7489785809690753,0.0013991851702182126,2220,0.2
-21.071107864379883,1376256,25.0,331,4146,224,-0.016772784108373646,0.010540633,0.10069986979166666,0.0003,0.8473691791296005,-0.018812213093042374,-0.7170858946939309,0.0013196819555560068,2230,0.2
-21.217662811279297,1382400,25.0,333,4146,225,-0.018499980121365903,0.011562817,0.11328125,0.0003,0.8490419536828995,0.003022241173312068,-0.7515245356286565,0.001542937446841582,2240,0.2
-21.604177474975586,1388544,25.0,334,4146,226,-0.015119259486770413,0.01030629,0.104345703125,0.0003,0.8542678952217102,-0.03423621505498886,-0.7434108564009269,0.0016958372252702247,2250,0.2
-20.5134334564209,1394688,25.0,336,4146,227,-0.01576696387589133,0.0105371205,0.09900716145833334,0.0003,0.8777511343359947,-0.025652315467596054,-0.7107900404992203,0.0013137257535466536,2260,0.2
-21.442888259887695,1400832,25.0,337,4146,228,-0.016866963012095462,0.010349762,0.103955078125,0.0003,0.8874369561672211,-0.041025083512067795,-0.6906445623065035,0.001163690491557645,2270,0.2
-20.265167236328125,1406976,25.0,339,4147,229,-0.015937363615012145,0.009848858,0.10960286458333333,0.0003,0.8716288059949875,-0.024299925193190575,-0.7417753898228209,0.0015038474228276754,2280,0.2
-20.661880493164062,1413120,25.0,340,4147,230,-0.01695400006719865,0.009763914,0.10607096354166666,0.0003,0.8648878633975983,-0.0271464791148901,-0.738321497477591,0.0012837201951091022,2290,0.2
-19.03739356994629,1419264,25.0,342,4147,231,-0.017995760143579294,0.009994655,0.10442708333333334,0.0003,0.8828618600964546,-0.04112747311592102,-0.7173578470324476,0.0011749668679840396,2300,0.2
